filepath,category,texture,texture_confidence,season,season_confidence,season_gap,season_source
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer001.jpg,Blazer,solid,0.2361,fall,0.2402,0.0299,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer002.jpg,Blazer,solid,0.1781,fall,0.199,0.0463,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer003.jpg,Blazer,embroidered,0.2481,fall,0.232,0.0601,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer004.jpg,Blazer,solid,0.2102,fall,0.2029,0.0317,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer005.jpg,Blazer,solid,0.2194,fall,0.2263,0.0292,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer006.jpg,Blazer,checkered,0.2349,fall,0.249,0.0354,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer007.jpg,Blazer,solid,0.2134,fall,0.2057,0.0267,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer008.jpg,Blazer,checkered,0.2048,fall,0.2244,0.0562,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer009.jpg,Blazer,checkered,0.2064,fall,0.2351,0.0536,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer010.jpg,Blazer,checkered,0.2284,fall,0.2326,0.0325,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer011.jpg,Blazer,solid,0.2153,all-season,0.2368,0.009,low_confidence_fallback
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer012.jpg,Blazer,solid,0.2214,fall,0.2026,0.0242,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer013.jpg,Blazer,solid,0.233,fall,0.2461,0.0468,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer014.jpg,Blazer,solid,0.2181,fall,0.2367,0.0347,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer015.jpg,Blazer,solid,0.1887,fall,0.2045,0.0211,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer016.jpg,Blazer,checkered,0.2306,fall,0.2424,0.0411,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer017.jpg,Blazer,solid,0.1942,fall,0.2308,0.0418,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer018.jpg,Blazer,checkered,0.2246,fall,0.2578,0.0403,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer019.jpg,Blazer,solid,0.2192,fall,0.2147,0.0322,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer020.jpg,Blazer,solid,0.1921,fall,0.1962,0.0301,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer021.jpg,Blazer,solid,0.2495,fall,0.2432,0.0253,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer022.jpg,Blazer,solid,0.2447,all-season,0.2259,0.0052,low_confidence_fallback
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer023.jpg,Blazer,checkered,0.2785,fall,0.2672,0.051,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer024.jpg,Blazer,solid,0.2556,fall,0.2383,0.0226,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer025.jpg,Blazer,solid,0.2295,fall,0.2508,0.0605,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer026.jpg,Blazer,solid,0.2585,fall,0.2538,0.0505,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer027.jpg,Blazer,checkered,0.2776,fall,0.2558,0.0369,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer028.jpg,Blazer,checkered,0.2785,fall,0.2482,0.0552,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer029.jpg,Blazer,striped,0.2678,summer,0.2152,0.0124,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer030.jpg,Blazer,striped,0.2539,fall,0.2015,0.0324,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer031.jpg,Blazer,striped,0.2556,fall,0.2117,0.0339,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer032.jpg,Blazer,striped,0.2377,fall,0.1809,0.0359,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer033.jpg,Blazer,solid,0.2541,fall,0.2418,0.0211,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer034.jpg,Blazer,solid,0.2134,fall,0.2205,0.0402,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer035.jpg,Blazer,solid,0.2348,fall,0.2336,0.0373,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer036.jpg,Blazer,solid,0.1706,fall,0.1817,0.0309,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer037.jpg,Blazer,solid,0.1776,fall,0.1847,0.0304,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer038.jpg,Blazer,pleated,0.2203,fall,0.1832,0.0373,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer039.jpg,Blazer,pleated,0.2254,fall,0.2195,0.0387,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer040.jpg,Blazer,solid,0.1931,fall,0.2045,0.0332,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer041.jpg,Blazer,solid,0.2083,summer,0.2036,0.0277,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer042.jpg,Blazer,solid,0.2653,fall,0.2517,0.0361,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer043.jpg,Blazer,solid,0.2472,all-season,0.2206,0.0027,low_confidence_fallback
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer044.jpg,Blazer,solid,0.2445,all-season,0.2403,0.0015,low_confidence_fallback
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer045.jpg,Blazer,solid,0.2406,summer,0.2395,0.0217,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer046.jpg,Blazer,solid,0.2596,fall,0.2422,0.0119,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer047.jpg,Blazer,solid,0.2416,fall,0.2484,0.034,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer048.jpg,Blazer,solid,0.2208,fall,0.2305,0.0471,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer049.jpg,Blazer,striped,0.2132,fall,0.1899,0.0424,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer050.jpg,Blazer,checkered,0.2445,fall,0.2308,0.0478,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer051.jpg,Blazer,solid,0.2135,fall,0.2445,0.0362,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer052.jpg,Blazer,solid,0.2361,fall,0.2199,0.0392,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer053.jpg,Blazer,solid,0.2017,fall,0.1904,0.0307,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer054.jpg,Blazer,solid,0.2442,fall,0.2451,0.0346,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer055.jpg,Blazer,solid,0.2505,fall,0.2411,0.029,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer056.jpg,Blazer,solid,0.2379,fall,0.2541,0.0432,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer057.jpg,Blazer,solid,0.2519,fall,0.2281,0.0131,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer058.jpg,Blazer,solid,0.2375,fall,0.2042,0.0159,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer059.jpg,Blazer,solid,0.229,fall,0.2104,0.0295,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer060.jpg,Blazer,solid,0.238,fall,0.2401,0.0357,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer061.jpg,Blazer,solid,0.2572,fall,0.2478,0.0245,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer062.jpg,Blazer,solid,0.2352,fall,0.2347,0.0296,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer063.jpg,Blazer,solid,0.2451,fall,0.2293,0.0347,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer064.jpg,Blazer,solid,0.2181,fall,0.2099,0.0343,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer065.jpg,Blazer,checkered,0.2577,fall,0.2677,0.0635,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer066.jpg,Blazer,solid,0.1998,fall,0.1992,0.0427,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer067.jpg,Blazer,solid,0.2162,fall,0.2128,0.0285,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer068.jpg,Blazer,solid,0.2153,all-season,0.21,0.0076,low_confidence_fallback
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer069.jpg,Blazer,solid,0.1869,fall,0.2177,0.0456,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer070.jpg,Blazer,checkered,0.2511,all-season,0.2113,0.0056,low_confidence_fallback
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer071.jpg,Blazer,striped,0.2577,all-season,0.2145,0.0095,low_confidence_fallback
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer072.jpg,Blazer,striped,0.2358,fall,0.2081,0.0303,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer073.jpg,Blazer,solid,0.197,fall,0.217,0.0253,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer074.jpg,Blazer,solid,0.2038,fall,0.2162,0.0437,clip
/content/stylemind-colab-prep/data/processed_dataset/Blazer/blazer075.jpg,Blazer,striped,0.2327,fall,0.2034,0.016,clip
