filepath,category,texture,texture_confidence,season,season_confidence,season_gap,season_source
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress389.jpg,Dress,solid,0.2063,summer,0.2093,0.0415,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant106.jpg,Formal_Pant,solid,0.2148,summer,0.1652,0.0125,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant401.jpg,Pants,graphic,0.1755,all-season,0.1396,0.0036,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter287.jpg,Warmwear,floral,0.2318,all-season,0.1923,0.0003,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt131.jpg,Shirt,solid,0.2606,summer,0.261,0.0657,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Warmwear\winter231.jpg,Warmwear,solid,0.2423,all-season,0.2475,0.0029,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Pants\pant346.jpg,Pants,solid,0.2022,fall,0.1768,0.0232,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shirt\shirt089.jpg,Shirt,solid,0.2355,all-season,0.2046,0.0086,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket136.jpg,Jacket,solid,0.2645,all-season,0.2577,0.008,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Shorts\shorts327.jpg,Shorts,solid,0.1926,summer,0.192,0.0501,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress070.jpg,Dress,pleated,0.1732,summer,0.1533,0.045,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket058.jpg,Jacket,solid,0.1907,all-season,0.188,0.0067,low_confidence_fallback
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top106.jpg,Top,solid,0.1849,summer,0.1804,0.045,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress226.jpg,Dress,pleated,0.2718,summer,0.2087,0.0472,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Dress\dress393.jpg,Dress,striped,0.2258,summer,0.1879,0.0834,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top333.jpg,Top,floral,0.2764,summer,0.2432,0.0843,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Top\top100.jpg,Top,embroidered,0.2494,summer,0.2339,0.0544,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Skirt\skirt130.jpg,Skirt,pleated,0.2741,summer,0.2002,0.0253,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Jacket\jacket133.jpg,Jacket,solid,0.215,fall,0.2368,0.0416,clip
C:\Users\Lenovo\Desktop\StyleMind\stylemind-cnn-training-pipeline\data\processed_dataset\Formal_Pant\formal_pant258.jpg,Formal_Pant,solid,0.1778,summer,0.1438,0.0164,clip
